datetime,Temp_C,Precip_in,Gage_height_ft,spec_cond,DO,pH,Turbidity,Nitrate_Nitrite
2018-12-18 00:00:00+00:00,19.736458333333335,0.0,6.445,274.7291666666667,2.1833333333333336,7.5,0.34791666666666665,0.3305208333333333
2018-12-19 00:00:00+00:00,19.743750000000002,0.0,6.386979166666666,269.8958333333333,2.267708333333333,7.5,0.41041666666666665,0.3321875
2018-12-20 00:00:00+00:00,19.741666666666667,0.008958333333333334,6.4227083333333335,265.5729166666667,2.303125,7.5,0.45416666666666666,0.3301041666666667
2018-12-21 00:00:00+00:00,19.716666666666665,0.006354166666666667,6.443229166666666,265.18947368421055,2.302083333333333,7.5,0.4635416666666667,0.32989583333333333
2018-12-22 00:00:00+00:00,19.740624999999998,0.0,6.16125,266.5729166666667,2.3541666666666665,7.5,0.4760416666666667,0.33645833333333336
2018-12-23 00:00:00+00:00,19.70625,0.0,6.0615625,266.34375,2.39375,7.5,0.4947916666666667,0.34
2018-12-24 00:00:00+00:00,19.728125,0.0,5.98,268.0729166666667,2.302083333333333,7.5,0.46770833333333334,0.340625
2018-12-25 00:00:00+00:00,19.8,0.0,5.880729166666666,270.5729166666667,2.2885416666666667,7.5,0.42500000000000004,0.341875
2018-12-26 00:00:00+00:00,19.836458333333333,0.0,5.7865625,272.6145833333333,2.2031250000000004,7.5,0.39999999999999997,0.345
2018-12-27 00:00:00+00:00,19.896874999999998,0.000625,5.71625,275.0104166666667,2.2,7.5,0.39479166666666665,0.34979166666666667
2018-12-28 00:00:00+00:00,19.9,0.0028125000000000003,5.706354166666667,277.2708333333333,2.182291666666667,7.5,0.38437499999999997,0.3498958333333333
2018-12-29 00:00:00+00:00,19.91875,0.02020833333333333,5.787395833333334,279.3229166666667,2.13125,7.5,0.36041666666666666,0.3499999999999999
2018-12-30 00:00:00+00:00,19.966666666666665,0.00020833333333333335,5.85875,280.7708333333333,2.0927083333333334,7.5,0.3666666666666667,0.3499999999999999
2018-12-31 00:00:00+00:00,20.0,0.0,5.915520833333333,282.5520833333333,2.0,7.5,0.3645833333333333,0.349375
2019-01-01 00:00:00+00:00,20.0,0.0,5.935833333333334,282.4166666666667,2.0,7.5,0.346875,0.346875
2019-01-02 00:00:00+00:00,20.040625000000002,0.0,5.8865625,281.5729166666667,2.0,7.5,0.371875,0.3490625
2019-01-03 00:00:00+00:00,20.105208333333334,0.0010416666666666667,5.851354166666667,280.3958333333333,2.0,7.5,0.3802083333333333,0.3499999999999999
2019-01-04 00:00:00+00:00,20.198958333333334,0.009895833333333333,5.8584375,280.0833333333333,2.004166666666667,7.5,0.35157894736842105,0.3502083333333333
2019-01-05 00:00:00+00:00,20.240624999999998,0.0,5.828020833333333,281.0,1.9947916666666667,7.5,0.3157894736842105,0.35406249999999995
2019-01-06 00:00:00+00:00,20.338541666666668,0.0,5.782916666666666,282.38947368421054,1.9104166666666667,7.5,0.29368421052631577,0.3590625
2019-01-07 00:00:00+00:00,20.411458333333332,0.0,5.790833333333333,283.2708333333333,1.8822916666666665,7.5,0.284375,0.3580208333333333
2019-01-08 00:00:00+00:00,20.427083333333332,0.0,5.758854166666667,282.9375,1.8125,7.5,0.2833333333333333,0.35822916666666665
2019-01-09 00:00:00+00:00,20.434375,0.0,5.6855208333333325,282.15625,1.8447916666666666,7.5,0.2903225806451613,0.36104166666666665
2019-01-10 00:00:00+00:00,20.421875,0.0,5.530520833333333,283.2916666666667,1.9281249999999999,7.5,0.2927083333333333,0.36864583333333334
2019-01-11 00:00:00+00:00,20.39270833333333,0.0,5.483333333333333,283.4791666666667,1.9937500000000001,7.5,0.28854166666666664,0.37041666666666667
2019-01-12 00:00:00+00:00,20.3,0.0,5.461145833333333,283.53125,2.0,7.5,0.28901098901098904,0.36999999999999994
2019-01-13 00:00:00+00:00,20.295833333333334,0.0007291666666666667,5.451250000000001,284.3333333333333,2.0,7.5,0.2736263736263736,0.36999999999999994
