datetime,TempC,PrecipIn,Gage_Height,SC,DO,pH,Turbidity,Nitrat_Nitrite
2017-05-01 00:00:00+00:00,20.809375,,4.858958333,316.8695652,1.983333333,7.502083333,0.066304348,0.4821875
2017-05-02 00:00:00+00:00,20.85833333,,4.717604167,317.8241758,2.176041667,7.54375,0.0625,0.4871875
2017-05-03 00:00:00+00:00,20.86,,4.611157895,319.5108696,2.242105263,7.544210526,0.067708333,0.494137931
2017-05-04 00:00:00+00:00,20.80625,0.02826087,4.7540625,319.1477273,2.051041667,7.530208333,0.058333333,
2017-05-05 00:00:00+00:00,20.828125,0,4.822395833,318.6777778,2.180208333,7.544791667,0.063541667,
2017-05-06 00:00:00+00:00,20.821875,0,4.480104167,321.673913,2.34375,7.551041667,0.065591398,
2017-05-07 00:00:00+00:00,20.828125,0,4.473125,323.5520833,2.351041667,7.551041667,0.051041667,
2017-05-08 00:00:00+00:00,20.84479167,0,4.461354167,324.0449438,2.389583333,7.552083333,0.047916667,
2017-05-09 00:00:00+00:00,20.83125,0,4.446041667,324.4883721,2.403125,7.555208333,0.072916667,
2017-05-10 00:00:00+00:00,20.85729167,0,4.425625,325.5517241,2.410416667,7.555208333,0.075,
2017-05-11 00:00:00+00:00,20.86041667,0,4.439166667,325.3804348,2.395833333,7.55625,0.098958333,
2017-05-12 00:00:00+00:00,20.86145833,0,4.468333333,326.043956,2.352083333,7.557291667,0.106451613,
2017-05-13 00:00:00+00:00,20.85729167,0.006354167,4.652916667,326.3058824,2.275,7.565625,0.105319149,
2017-05-14 00:00:00+00:00,20.88020833,0,4.63375,323.6321839,2.341666667,7.586458333,0.146875,
2017-05-15 00:00:00+00:00,20.88125,0,4.530208333,324.2659574,2.401041667,7.597916667,0.098958333,
2017-05-16 00:00:00+00:00,20.88854167,0,4.4865625,324.7640449,2.416666667,7.598958333,0.104597701,
2017-05-17 00:00:00+00:00,20.871875,0,4.470833333,325.0208333,2.394791667,7.595833333,0.108510638,
2017-05-18 00:00:00+00:00,20.87083333,0,4.659270833,323.3578947,2.298958333,7.598958333,0.145744681,
2017-05-19 00:00:00+00:00,20.88125,0,4.7553125,320.4680851,2.279166667,7.597916667,0.131818182,
2017-05-20 00:00:00+00:00,20.93229167,0.000104167,4.811458333,320.172043,2.225,7.59375,0.178021978,
2017-05-21 00:00:00+00:00,20.83958333,0.008125,4.749479167,321.4301075,2.105208333,7.598958333,0.226666667,
2017-05-22 00:00:00+00:00,20.84791667,0.0078125,4.559895833,323.8947368,2.194791667,7.6,0.230681818,
2017-05-23 00:00:00+00:00,20.84583333,0.018333333,4.77125,319.5333333,2.201041667,7.6,0.176041667,
2017-05-24 00:00:00+00:00,20.84166667,0.015,4.985104167,316.2272727,2.054166667,7.6,0.17173913,
2017-05-25 00:00:00+00:00,20.86979167,0,5.025833333,317.9770115,2.114583333,7.591666667,0.19125,
2017-05-26 00:00:00+00:00,20.87291667,0,4.837291667,318.2298851,2.204166667,7.597916667,0.130208333,
2017-05-27 00:00:00+00:00,20.878125,0,4.818229167,319.7252747,2.233333333,7.6,0.145263158,
2017-05-28 00:00:00+00:00,20.87604167,0,4.771979167,319.7096774,2.227083333,7.6,0.212631579,
2017-05-29 00:00:00+00:00,20.878125,0,4.739270833,319.4772727,2.270833333,7.6,0.169791667,
2017-05-30 00:00:00+00:00,20.85208333,0,4.641041667,320.4367816,2.284375,7.598958333,0.166315789,
2017-05-31 00:00:00+00:00,20.86145833,0,4.626666667,321.6,2.29375,7.598958333,0.175789474,
2017-06-01 00:00:00+00:00,20.84479167,0,4.6065625,323.9166667,2.277083333,7.6,0.157608696,
2017-06-02 00:00:00+00:00,20.86354167,0,4.825208333,321.8736842,2.260416667,7.6,0.14516129,
2017-06-03 00:00:00+00:00,20.88020833,0.0034375,4.898645833,318.5604396,2.221875,7.6,0.144680851,
2017-06-04 00:00:00+00:00,20.91666667,0.00375,4.9496875,319.3157895,2.186458333,7.6,0.140625,
2017-06-05 00:00:00+00:00,20.90104167,0,5.036979167,322.9789474,2.145833333,7.598958333,0.138947368,
2017-06-06 00:00:00+00:00,20.87291667,0.025833333,5.205416667,323.5,1.985416667,7.6,0.19382716,
2017-06-07 00:00:00+00:00,20.88854167,0.040520833,5.54875,321.5208333,1.915625,7.6,0.14516129,
2017-06-08 00:00:00+00:00,20.84494382,0.000531915,6.013229167,319.5862069,1.806741573,7.592134831,0.184444444,
2017-06-09 00:00:00+00:00,20.92708333,0,6.249270833,315.6666667,1.721875,7.6,0.042105263,
2017-06-10 00:00:00+00:00,20.92708333,0,6.276145833,316.7234043,1.70625,7.6,0.015625,
2017-06-11 00:00:00+00:00,20.90729167,0.019270833,6.184166667,312.9270833,1.657291667,7.564583333,0.020833333,
2017-06-12 00:00:00+00:00,20.9,0.002291667,6.098333333,312.1052632,1.635416667,7.5,0.05,
2017-06-13 00:00:00+00:00,20.92604167,0,6.0278125,309.4842105,1.671875,7.5,0.103191489,
2017-06-14 00:00:00+00:00,20.91145833,0.005729167,5.983958333,307.1604938,1.717708333,7.5,0.096875,
2017-06-15 00:00:00+00:00,20.92916667,0.0078125,5.944166667,305.2717391,1.759375,7.5,0.102083333,
2017-06-16 00:00:00+00:00,20.94791667,0,5.928229167,304.6703297,1.794791667,7.5,0.094791667,
2017-06-17 00:00:00+00:00,20.95104167,0.011145833,5.902604167,304.326087,1.813829787,7.498958333,0.096875,
2017-06-18 00:00:00+00:00,21.0125,0,5.8753125,306.6451613,1.8375,7.496875,0.09375,
2017-06-19 00:00:00+00:00,21,0.0028125,5.8525,304.2795699,1.8125,7.485416667,0.096875,
2017-06-20 00:00:00+00:00,21,0.0284375,5.9440625,304.375,1.814893617,7.475,0.116091954,
2017-06-21 00:00:00+00:00,21,0.001770833,6.2021875,302.9368421,1.732291667,7.404166667,0.09375,
2017-06-22 00:00:00+00:00,21.03854167,0,6.531354167,300.2083333,1.607291667,7.4,0.126315789,
2017-06-23 00:00:00+00:00,21.03958333,0,6.677291667,300.7604167,1.544791667,7.4,0.145263158,
2017-06-24 00:00:00+00:00,21.053125,0,6.591979167,299.4842105,1.538541667,7.4,0.119791667,
2017-06-25 00:00:00+00:00,21.10104167,0.009166667,6.452291667,297.6555556,1.576595745,7.4,0.116842105,
2017-06-26 00:00:00+00:00,21.134375,0.000208333,6.344166667,296.0322581,1.594791667,7.4,0.1,
2017-06-27 00:00:00+00:00,21.14270833,0.008125,6.228854167,294.2967033,1.601075269,7.4,0.102083333,
